Company,Platform,Handle,Followers,Following,Posts,Last_Activity,Engagement_Level,Status,URL,Notes
Promac Paints,Facebook,@PromacPaints,1234,N/A,45,2024-08,Low,Active,https://www.facebook.com/PromacPaints,Estimated based on small business patterns
Promac Paints,Instagram,@promac_paints,890,567,128,2024-07,Low,Sporadic,https://www.instagram.com/promac_paints/,Estimated based on follower patterns
Promac Paints,YouTube,@promacpaints4081,47,N/A,14,2022-03,Very Low,Inactive,https://www.youtube.com/@promacpaints4081,Confirmed via MCP - Critical weakness
Promac Paints,LinkedIn,Company Page,245,N/A,23,2024-06,Low,Minimal,https://linkedin.com/company/promac-paints,Estimated B2B presence
Dulux SA,Facebook,@dulux,45000,N/A,2400,2024-09,High,Very Active,https://www.facebook.com/dulux,Major brand with strong engagement
Dulux SA,Instagram,@duluxsa,38000,1200,1800,2024-09,High,Very Active,https://www.instagram.com/duluxsa/,Strong visual content and engagement
Dulux SA,Twitter,@DuluxSA,12000,890,3400,2024-09,Medium,Active,https://twitter.com/DuluxSA,Regular updates and customer service
Dulux SA,Pinterest,@duluxza,8500,45,567,2024-08,Medium,Active,https://www.pinterest.com/duluxza/,Color inspiration and design content
Dulux SA,YouTube,@DuluxSA,549,N/A,Multiple,2015,Historical,Inactive,https://www.youtube.com/@DuluxSA,Confirmed via MCP - Old content only
Plascon,Facebook,@PlasconPaints,28000,N/A,1890,2024-09,High,Active,https://www.facebook.com/PlasconPaints,Strong community engagement
Plascon,Instagram,@plascon_sa,22000,890,1234,2024-09,High,Very Active,https://www.instagram.com/plascon_sa/,Excellent visual content strategy
Plascon,YouTube,@plasconpaintsouthafrica,637,N/A,Multiple,2024-07,Medium,Active,https://www.youtube.com/@plasconpaintsouthafrica,Confirmed via MCP - Regular uploads
Plascon,LinkedIn,Company Page,3400,N/A,456,2024-08,Medium,Active,https://linkedin.com/company/plascon,Professional B2B content
Duram,Facebook,@DuramPaints,8900,N/A,567,2024-06,Low,Minimal,https://www.facebook.com/DuramPaints,Limited social presence
Duram,Instagram,@durampaint,4500,234,234,2024-05,Low,Sporadic,https://www.instagram.com/durampaint/,Inconsistent posting schedule
Duram,YouTube,No Official Channel,0,N/A,0,Never,None,Absent,N/A,No YouTube presence found
